Evento,Escenario,Bytes/s,Paquetes/s,Temp,Duración,Cluster_k2,Cluster_k3
214,Estrés,-0.112918585794856,-0.0681400182008454,-0.0421902267083382,0.0,0,0
215,Estrés,-0.1125044233965398,-0.0679392730235475,-0.383547515529047,0.0,0,0
216,Estrés,-0.1128806885819382,-0.0681400182008454,-1.0662620931703433,0.0,0,0
217,Estrés,-0.1125206650592189,-0.0679392730235475,0.6405243509329579,0.0,0,2
218,Estrés,-0.1124367498020437,-0.0679392730235475,-1.4076193819909306,0.0,0,0
219,Estrés,-0.1133571106871908,-0.0683407633781433,-0.7249048043496344,0.0,0,0
220,Estrés,-0.1127426344491661,-0.0677385278462496,0.2991670621122492,0.0,0,2
221,Estrés,-0.1134464398319257,-0.0683407633781433,0.6405243509329579,0.0,0,2
222,Estrés,-0.1129889663331319,-0.0681400182008454,-0.0421902267083382,0.0,0,0
223,Estrés,-0.1133056787553738,-0.0683407633781433,-1.7489766708116394,0.0,0,0
224,Estrés,-0.1129375344013149,-0.0681400182008454,0.9818816397535454,0.0,0,2
225,Estrés,-0.1134004217876683,-0.0683407633781433,-1.0662620931703433,0.0,0,0
226,Estrés,-0.1133083856991536,-0.0683407633781433,-0.383547515529047,0.0,0,0
227,Estrés,-0.1126993233486886,-0.0681400182008454,-0.383547515529047,0.0,0,0
228,Estrés,-0.11284820525658,-0.0681400182008454,-1.0662620931703433,0.0,0,0
229,Estrés,-0.1133625245747505,-0.0683407633781433,-0.383547515529047,0.0,0,0
230,Estrés,-0.1135547175831194,-0.0683407633781433,-0.7249048043496344,0.0,0,0
231,Estrés,-0.1133273343056125,-0.0683407633781433,-0.383547515529047,0.0,0,0
232,Estrés,-0.1133841801249892,-0.0683407633781433,1.323238928574254,0.0,0,2
233,Estrés,-0.113457267607045,-0.0683407633781433,0.6405243509329579,0.0,0,2
234,Estrés,-0.1134897509324032,-0.0683407633781433,-0.7249048043496344,0.0,0,0
235,Estrés,-0.1132217634981986,-0.0683407633781433,-1.0662620931703433,0.0,0,0
236,Estrés,-0.1147268242397921,-0.068942998910037,-1.4076193819909306,0.0,0,0
250,Normal,-0.156459776493654,-0.0860063389803586,-1.0662620931703433,0.0,0,0
251,Normal,-0.1566492625582431,-0.0864078293349544,1.6645962173949629,0.0,0,2
252,Normal,-0.1566871597711609,-0.0864078293349544,0.9818816397535454,0.0,0,2
253,Normal,-0.1568089722412539,-0.0866085745122523,-0.0421902267083382,0.0,0,0
254,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
255,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
256,Normal,-0.1567629541969965,-0.0866085745122523,0.9818816397535454,0.0,0,2
257,Normal,-0.156511208425471,-0.0864078293349544,0.2991670621122492,0.0,0,2
258,Normal,-0.1567629541969965,-0.0866085745122523,-1.7489766708116394,0.0,0,0
259,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
260,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
261,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
262,Normal,-0.1568089722412539,-0.0866085745122523,-0.0421902267083382,0.0,0,0
263,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
264,Normal,-0.1567629541969965,-0.0866085745122523,-0.383547515529047,0.0,0,0
265,Normal,-0.1568035583536942,-0.0866085745122523,-1.0662620931703433,0.0,0,0
266,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
267,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
268,Normal,-0.1567629541969965,-0.0866085745122523,0.9818816397535454,0.0,0,2
269,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
270,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
271,Normal,-0.1568035583536942,-0.0866085745122523,-0.383547515529047,0.0,0,0
272,Normal,-0.1565761750761873,-0.0862070841576565,-0.383547515529047,0.0,0,0
273,Normal,-0.1567629541969965,-0.0866085745122523,0.9818816397535454,0.0,0,2
274,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
275,Normal,-0.1568035583536942,-0.0866085745122523,-1.7489766708116394,0.0,0,0
276,Normal,-0.1560916321395951,-0.0858055938030607,1.323238928574254,0.0,0,2
277,Normal,-0.1359682120802315,-0.083195906498188,-1.4076193819909306,0.0,0,0
278,Ataque (nmap),6.417502074766481,0.3156847607927401,-0.383547515529047,0.0,0,0
279,Ataque (nmap),5.566652798941993,0.2994244014316102,1.6645962173949629,0.0,0,2
280,Ataque (nmap),7.807154975250106,0.455001913837483,-1.4076193819909306,0.0,0,0
281,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
282,Normal,-0.1565788820199671,-0.0862070841576565,0.2991670621122492,0.0,0,2
283,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
284,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
285,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
286,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
287,Normal,-0.1567629541969965,-0.0866085745122523,0.9818816397535454,0.0,0,2
288,Normal,-0.1567656611407764,-0.0866085745122523,0.6405243509329579,0.0,0,2
289,Normal,-0.1568008514099144,-0.0866085745122523,-1.0662620931703433,0.0,0,0
290,Normal,-0.1568035583536942,-0.0866085745122523,-0.7249048043496344,0.0,0,0
291,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
